AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
DC Sentencing & Criminal Code Review Committee,-287.45,2009-05-12
DC Sentencing & Criminal Code Review Committee,883.1,2009-09-08
DC Sentencing & Criminal Code Review Committee,-357.55,2009-09-08
DC Sentencing & Criminal Code Review Committee,892.5,2009-03-26
DC Sentencing & Criminal Code Review Committee,565.52,2009-07-18
DC Sentencing & Criminal Code Review Committee,1866.22,2009-07-27
DC Sentencing & Criminal Code Review Committee,95.56,2009-03-31
DC Sentencing & Criminal Code Review Committee,774.29,2008-11-15
DC Sentencing & Criminal Code Review Committee,-439.21,2010-02-09
DC Sentencing & Criminal Code Review Committee,334.58,2009-05-24
DC Sentencing & Criminal Code Review Committee,443.71,2009-09-23
DC Sentencing & Criminal Code Review Committee,452.5,2010-01-08
DC Sentencing & Criminal Code Review Committee,-664.05,2009-01-04
DC Sentencing & Criminal Code Review Committee,1017.16,2008-11-03
DC Sentencing & Criminal Code Review Committee,-32.86,2009-10-04
DC Sentencing & Criminal Code Review Committee,1518.59,2009-06-21
DC Sentencing & Criminal Code Review Committee,163.59,2009-05-17
DC Sentencing & Criminal Code Review Committee,927.93,2009-05-20
DC Sentencing & Criminal Code Review Committee,637.88,2009-07-23
DC Sentencing & Criminal Code Review Committee,224.02,2009-08-26
DC Sentencing & Criminal Code Review Committee,232.45,2009-11-26
DC Sentencing & Criminal Code Review Committee,631.87,2009-09-14
DC Sentencing & Criminal Code Review Committee,1481.43,2009-03-20
DC Sentencing & Criminal Code Review Committee,349.68,2009-11-15
DC Sentencing & Criminal Code Review Committee,233.99,2009-09-25
DC Sentencing & Criminal Code Review Committee,182.2,2009-07-20
DC Sentencing & Criminal Code Review Committee,147.11,2009-01-17
DC Sentencing & Criminal Code Review Committee,-87.06,2009-09-22
DC Sentencing & Criminal Code Review Committee,840.15,2009-03-15
DC Sentencing & Criminal Code Review Committee,1079.8,2009-06-28
DC Sentencing & Criminal Code Review Committee,1089.83,2009-12-22
DC Sentencing & Criminal Code Review Committee,30.71,2009-10-15
DC Sentencing & Criminal Code Review Committee,1494.21,2009-03-04
DC Sentencing & Criminal Code Review Committee,464.02,2009-12-11
DC Sentencing & Criminal Code Review Committee,1155.0,2009-07-28
DC Sentencing & Criminal Code Review Committee,21.37,2009-07-01
DC Sentencing & Criminal Code Review Committee,288.79,2009-02-18
DC Sentencing & Criminal Code Review Committee,668.38,2009-02-12
DC Sentencing & Criminal Code Review Committee,663.08,2010-01-05
DC Sentencing & Criminal Code Review Committee,542.05,2010-01-01
DC Sentencing & Criminal Code Review Committee,412.75,2009-04-19
DC Sentencing & Criminal Code Review Committee,303.13,2009-07-12
DC Sentencing & Criminal Code Review Committee,128.37,2009-04-26
DC Sentencing & Criminal Code Review Committee,864.86,2009-10-27
DC Sentencing & Criminal Code Review Committee,1334.92,2009-09-30
DC Sentencing & Criminal Code Review Committee,-273.17,2009-06-20
DC Sentencing & Criminal Code Review Committee,745.3,2009-08-17
DC Sentencing & Criminal Code Review Committee,634.43,2009-09-25
DC Sentencing & Criminal Code Review Committee,689.77,2009-04-27
DC Sentencing & Criminal Code Review Committee,120.08,2008-12-10
DC Sentencing & Criminal Code Review Committee,758.46,2009-05-29
DC Sentencing & Criminal Code Review Committee,752.49,2009-08-28
DC Sentencing & Criminal Code Review Committee,997.11,2009-05-04
DC Sentencing & Criminal Code Review Committee,507.18,2009-02-24
DC Sentencing & Criminal Code Review Committee,4.6,2009-02-16
DC Sentencing & Criminal Code Review Committee,1229.79,2009-07-12
DC Sentencing & Criminal Code Review Committee,774.48,2009-05-17
DC Sentencing & Criminal Code Review Committee,454.28,2009-10-04
DC Sentencing & Criminal Code Review Committee,182.63,2010-02-03
Office of Administrative Hearings,424.5,2009-09-21
Office of Administrative Hearings,1534.84,2010-04-06
Office of Administrative Hearings,501.89,2009-11-02
Office of Administrative Hearings,245.43,2009-09-04
Office of Administrative Hearings,809.71,2009-11-26
Office of Administrative Hearings,42.03,2009-06-10
Office of Administrative Hearings,-476.94,2009-04-12
Office of Administrative Hearings,839.66,2009-06-16
Office of Administrative Hearings,-213.11,2009-08-25
Office of Administrative Hearings,-386.73,2009-08-28
Office of Administrative Hearings,852.99,2009-12-10
Office of Administrative Hearings,-266.43,2009-03-28
Office of Administrative Hearings,624.63,2009-07-19
Office of Administrative Hearings,100.62,2009-10-15
Office of Administrative Hearings,881.94,2009-06-16
Office of Administrative Hearings,595.31,2009-08-02
Office of Administrative Hearings,83.8,2009-07-24
Office of Administrative Hearings,81.51,2009-04-21
Office of Administrative Hearings,-441.28,2009-10-12
Office of Administrative Hearings,159.23,2009-06-02
Office of Administrative Hearings,253.26,2009-06-02
Office of Administrative Hearings,351.25,2009-08-03
Office of Administrative Hearings,805.74,2009-04-21
Office of Administrative Hearings,441.45,2009-09-09
Office of Administrative Hearings,854.31,2009-12-03
Office of Administrative Hearings,-174.49,2009-05-17
Office of Administrative Hearings,541.77,2009-06-10
Office of Administrative Hearings,241.79,2010-01-02
Office of Administrative Hearings,803.05,2009-06-15
Office of Administrative Hearings,383.38,2009-05-19
Office of Administrative Hearings,520.9,2009-12-08
Office of Administrative Hearings,-406.54,2009-07-14
Office of Administrative Hearings,-86.19,2009-01-16
Office of Administrative Hearings,-78.94,2009-09-26
Office of Administrative Hearings,615.56,2009-07-18
Office of Administrative Hearings,-253.5,2009-08-20
Office of Administrative Hearings,495.47,2009-08-03
Office of Administrative Hearings,34.19,2009-07-16
Office of Administrative Hearings,-95.2,2009-08-23
Office of Administrative Hearings,214.52,2009-03-19
Office of Administrative Hearings,-419.09,2009-07-22
Office of Administrative Hearings,-702.01,2009-07-30
Office of Administrative Hearings,1202.3,2010-03-20
Office of Administrative Hearings,-122.83,2009-09-25
Office of Administrative Hearings,704.0,2009-06-05
Office of Administrative Hearings,-444.63,2009-09-20
Office of Administrative Hearings,346.22,2009-05-24
Office of Administrative Hearings,448.09,2009-03-23
Office of Administrative Hearings,560.11,2009-08-10
Office of Administrative Hearings,447.29,2009-10-27
Office of Administrative Hearings,997.99,2009-06-19
Office of Administrative Hearings,899.71,2009-09-02
Office of Administrative Hearings,410.38,2009-12-03
Office of Administrative Hearings,415.9,2009-10-07
Office of Administrative Hearings,-437.17,2009-10-08
Office of Administrative Hearings,887.12,2009-04-27
Office of Administrative Hearings,1255.53,2009-11-09
Office of Administrative Hearings,534.95,2009-08-27
Office of Administrative Hearings,-42.42,2009-06-07
Office of Administrative Hearings,579.06,2009-11-15
Office of Administrative Hearings,46.44,2009-04-30
Office of Administrative Hearings,1222.85,2010-01-07
Office of Administrative Hearings,-33.37,2009-07-30
Office of Administrative Hearings,37.05,2009-06-13
Office of Administrative Hearings,-215.87,2009-12-01
Office of Administrative Hearings,351.25,2009-05-31
Office of Administrative Hearings,571.79,2009-09-11
Office of Administrative Hearings,-834.44,2009-05-25
Office of Administrative Hearings,1375.59,2009-08-03
Office of Administrative Hearings,776.3,2009-04-11
Disability Compensation Fund,-74.91,2009-04-03
Disability Compensation Fund,663.4,2009-07-30
Disability Compensation Fund,-556.99,2009-05-28
Disability Compensation Fund,-334.18,2009-04-04
Disability Compensation Fund,766.68,2009-10-02
Disability Compensation Fund,510.1,2009-03-12
Disability Compensation Fund,1273.42,2009-04-02
Disability Compensation Fund,343.23,2009-08-01
Disability Compensation Fund,977.13,2009-09-04
Office of Finance & Resource Management,461.32,2009-05-28
Office of Finance & Resource Management,-501.79,2009-07-19
Office of Finance & Resource Management,599.71,2009-09-22
Office of Finance & Resource Management,641.76,2009-04-08
Office of Finance & Resource Management,-213.18,2010-03-01
Office of Finance & Resource Management,381.12,2009-09-17
Office of Finance & Resource Management,625.14,2010-03-25
Office of Finance & Resource Management,1333.94,2009-08-21
Office of Finance & Resource Management,-418.96,2010-03-22
Office of Finance & Resource Management,751.98,2009-10-02
Office of Finance & Resource Management,907.35,2009-08-09
Office of Finance & Resource Management,-1579.56,2009-08-02
Office of Finance & Resource Management,101.8,2009-10-09
Office of Finance & Resource Management,589.6,2009-07-16
Office of Finance & Resource Management,741.1,2009-11-26
Office of Finance & Resource Management,-405.44,2009-07-16
Office of Finance & Resource Management,933.1,2008-12-30
Office of Finance & Resource Management,1866.23,2009-08-19
Office of Finance & Resource Management,181.0,2009-08-20
Office of Finance & Resource Management,-91.03,2009-06-16
Office of Finance & Resource Management,1432.3,2009-08-25
Office of Finance & Resource Management,896.83,2009-11-02
Office of Finance & Resource Management,440.64,2009-05-06
Office of Finance & Resource Management,259.33,2009-12-19
Office of Finance & Resource Management,106.12,2009-12-23
Office of Finance & Resource Management,287.13,2008-11-28
Office of Finance & Resource Management,852.12,2009-07-24
Office of Finance & Resource Management,1072.96,2009-10-02
Office of Finance & Resource Management,599.64,2009-04-04
Office of Finance & Resource Management,546.22,2009-07-07
Office of Finance & Resource Management,272.37,2009-06-23
Office of Finance & Resource Management,1197.11,2009-03-07
Office of Finance & Resource Management,938.69,2009-07-24
Office of Finance & Resource Management,244.54,2009-05-15
Office of Finance & Resource Management,237.3,2009-11-24
Office of Finance & Resource Management,-147.2,2010-03-04
Office of Finance & Resource Management,224.91,2009-07-05
Office of Finance & Resource Management,905.74,2009-08-18
Office of Finance & Resource Management,-244.9,2009-10-29
Office of Finance & Resource Management,-660.73,2009-11-06
Office of Finance & Resource Management,-361.08,2009-08-03
Office of Finance & Resource Management,-5.07,2009-11-22
Office of Finance & Resource Management,604.03,2009-12-31
Office of Finance & Resource Management,793.98,2009-09-07
Office of Finance & Resource Management,164.31,2009-04-08
Office of Finance & Resource Management,-545.98,2009-06-29
Office of Finance & Resource Management,1148.03,2009-05-01
Office of Finance & Resource Management,-602.31,2009-04-19
Office of Finance & Resource Management,-114.52,2009-05-23
Office of Finance & Resource Management,137.98,2009-04-09
Office of Finance & Resource Management,-44.79,2009-05-08
Office of Finance & Resource Management,104.33,2009-06-16
Office of Finance & Resource Management,-396.04,2009-06-30
Office of Finance & Resource Management,373.3,2009-05-22
Office of Finance & Resource Management,-247.09,2009-02-08
Office of Finance & Resource Management,-35.34,2009-09-16
Office of Finance & Resource Management,927.29,2009-09-08
Office of Finance & Resource Management,769.9,2009-01-05
Office of Finance & Resource Management,-174.58,2010-01-10
Office of Finance & Resource Management,-327.03,2009-12-31
Office of Finance & Resource Management,821.85,2009-02-21
Office of Finance & Resource Management,-428.27,2009-07-20
Office of Finance & Resource Management,1389.99,2009-05-12
Office of Finance & Resource Management,255.91,2009-05-08
Office of Finance & Resource Management,368.78,2009-04-17
Office of Finance & Resource Management,290.68,2009-05-07
Office of Finance & Resource Management,-171.7,2009-04-13
Office of Finance & Resource Management,694.74,2009-07-26
Office of Finance & Resource Management,676.68,2009-05-25
Office of Finance & Resource Management,212.58,2009-10-04
Office of Finance & Resource Management,288.14,2009-03-10
Office of Finance & Resource Management,310.1,2009-05-05
Office of Finance & Resource Management,821.84,2009-09-01
Office of Finance & Resource Management,-434.31,2009-07-02
Office of Finance & Resource Management,569.51,2009-10-02
Office of Finance & Resource Management,1033.13,2009-06-04
Office of Finance & Resource Management,-573.64,2009-07-27
Office of Finance & Resource Management,626.02,2009-06-26
Office of Finance & Resource Management,996.98,2009-09-20
Office of Finance & Resource Management,-522.83,2009-07-09
Office of Finance & Resource Management,410.05,2009-10-04
Office of Finance & Resource Management,986.38,2009-08-21
Office of Finance & Resource Management,-239.93,2009-07-11
Office of Finance & Resource Management,642.53,2009-06-03
Office of Finance & Resource Management,169.5,2009-05-27
